2.5966,2.8715,1.1683,-1.9417,0.4173,2.8676,-18.5108,13.0394,0.0,-0.0,0.0,0.0,2.0,-1.0
2.5966,2.8715,1.1683,-1.9417,0.4173,2.8676,78.3297,31.9364,0.0,-0.0,0.0,0.0,2.0,-1.0
2.5611,2.8872,1.1792,-1.9471,0.4294,2.8365,119.2182,29.7351,0.0381,-0.0,0.0381,0.0,1.0,-1.0
2.5183,2.8523,1.1938,-1.9538,-1.5371,2.7996,138.8843,8.4362,0.0843,-0.0,0.0843,0.0,0.0,-1.0
1.2095,2.477,2.8077,2.7649,-1.9605,-1.5366,132.7043,9.5612,0.1288,-0.0,0.1288,0.0,1.0,-1.0
1.2268,2.4354,2.7627,2.7307,-1.9676,-1.536,135.329,9.2137,0.1739,-0.0,0.1739,0.0,1.0,-1.0
1.2469,2.3908,2.7143,2.6952,-1.9754,-1.5354,133.5342,29.7052,0.2223,-0.0,0.2223,0.0,2.0,-1.0
1.2675,2.3484,2.6682,2.6623,-1.9831,-1.5348,128.1025,27.5241,0.2685,-0.0,0.2685,0.0,1.0,-1.0
1.2889,2.3072,2.6232,2.6313,-1.991,-1.5342,122.7349,48.2149,0.3135,-0.0,0.3135,0.0,2.0,-1.0
1.2827,2.2529,2.58,2.5882,-1.9855,-1.5206,143.2957,25.097,0.3582,-0.0334,0.3873,0.0,0.0,-1.0
1.2947,2.2104,2.5396,2.5563,-1.988,-1.515,122.7877,5.5598,0.3992,-0.0455,0.4301,0.0,0.0,-1.0
1.3189,2.1728,2.4981,2.5304,-1.9961,-1.5145,120.3384,7.3607,0.4408,-0.0446,0.472,0.0,1.0,-1.0
1.348,2.1373,2.456,2.5074,-2.0067,-1.5159,123.1769,7.8124,0.4826,-0.0388,0.5143,0.0,1.0,-1.0
1.3768,2.1043,2.4163,2.4871,-2.0173,-1.5176,113.6648,7.9249,0.5221,-0.0324,0.5544,0.0,1.0,-1.0
1.4274,2.082,2.3739,2.4782,-2.0398,-1.5303,125.6651,-12.7554,0.5629,-0.0,0.6239,0.0,0.0,-1.0
1.4545,2.0435,2.3307,2.4548,-2.0494,-1.5296,128.1416,-32.5543,0.6062,-0.0,0.6671,0.0,0.0,-1.0
1.4735,2.0171,2.301,2.4392,-2.0562,-1.5291,109.5735,-9.2702,0.636,-0.0,0.6969,0.0,2.0,-1.0
1.5288,2.0083,2.2657,2.4407,-2.0834,-1.5477,106.1481,10.3007,0.6698,0.0438,0.7633,0.0,2.0,-1.0
1.5603,1.9826,2.2296,2.4276,-2.097,-1.5522,95.1292,29.7431,0.7057,0.0546,0.8009,0.0,2.0,-1.0
1.5843,1.9474,2.1905,2.4079,-2.1059,-1.5507,113.2082,27.9722,0.7449,0.0519,0.8404,0.0,1.0,-1.0
1.608,1.9065,2.1476,2.3848,-2.114,-1.5467,124.0271,28.2253,0.788,0.0443,0.8843,0.0,1.0,-1.0
1.6327,1.8665,2.105,2.3629,-2.1227,-1.543,123.2275,28.4798,0.8307,0.0375,0.9276,0.0,1.0,-1.0
1.6365,1.8111,2.0645,2.3285,-2.1172,-1.5243,125.0249,28.62,0.8727,-0.0,0.9989,0.0,1.0,-1.0
1.664,1.7791,2.0269,2.313,-2.1282,-1.5234,109.6095,7.8103,0.9103,-0.0,1.0365,0.0,0.0,-1.0
1.9891,1.6921,1.7471,-1.5225,2.2979,-2.1397,101.8767,30.1542,0.9482,-0.0,1.0744,0.0,2.0,-1.0
1.9458,1.7248,1.7107,-1.5214,2.2811,-2.1533,109.9824,50.5179,0.9915,-0.0,1.1178,0.0,2.0,-1.0
1.9049,1.756,1.6767,-1.5204,2.2659,-2.1668,120.7341,48.6749,1.0325,-0.0,1.1587,0.0,1.0,-1.0
1.8623,1.7889,1.6416,-1.5192,2.2507,-2.1814,144.3056,27.9711,1.0751,-0.0,1.2013,0.0,0.0,-1.0
1.818,1.8028,1.5818,-1.4974,2.2182,-2.179,140.2169,50.68,1.1219,-0.0374,1.2769,0.0,2.0,-1.0
1.5298,1.7756,1.823,-2.1813,-1.4805,2.1917,153.9049,29.2008,1.1666,-0.0641,1.3293,0.0,0.0,-1.0
1.7348,1.4838,1.8471,-1.4673,-2.1873,2.1698,135.0446,31.0336,1.2095,-0.0832,1.3765,0.0,1.0,-1.0
